Project_ID,Project_Description,Region,Start_Date,End_Date,Status,Cost,Funding_Source,Contractor,Priority_Level,Maintenance_Category,Safety_Rating,Location_City
FC-059,Pumping Station Repair,Region IV-A,2023-05-06,2023-06-09,Ongoing,809388064,Grant,UrbanInfra,Medium,Major,C,Malolos
FC-060,Seawall Restoration,Region I,2023-01-18,2023-09-26,Under Review,280063673,Grant,TerraFirm,Low,Routine,A,Davao
FC-061,Construction of Dikes,Region I,2023-04-29,2025-01-01,Planned,167541626,Grant,AquaFlow Solutions,Medium,Minor,C,Quezon City
FC-062,Riverbank Stabilization,Region IV-A,2023-07-10,2025-05-12,Ongoing,213638582,Private,OceanGuard Co.,Low,Major,B,Manila
FC-063,Dredging Operations,NCR,2023-04-02,2023-08-18,Under Review,182691360,Government,UrbanInfra,Low,Emergency,B,Quezon City
FC-064,Construction of Dikes,Region I,2023-05-31,2024-07-19,Planned,227411437,Government,EcoClear Ltd,Medium,Minor,C,Iloilo
FC-065,Floodway Maintenance,Region I,2023-04-13,2023-08-29,Under Review,413053167,Government,UrbanInfra,Low,Minor,C,Iloilo
FC-066,Dredging Operations,Region XI,2023-09-19,2023-10-22,Under Review,627093973,International Aid,BuildCorp Inc.,High,Major,C,Davao
FC-067,Dredging Operations,Region VII,2023-02-12,2023-07-02,Under Review,99565616,Government,OceanGuard Co.,Low,Routine,B,Davao
FC-068,Waterway Clearing,Region III,2023-09-14,2024-06-07,Completed,751439518,International Aid,TerraFirm,Low,Routine,A,Davao
FC-069,Dredging Operations,Region I,2023-03-16,2024-11-09,Completed,413809222,Government,EcoClear Ltd,Low,Routine,A,Pampanga
FC-070,Waterway Clearing,NCR,2023-07-19,2025-02-02,Completed,82497519,International Aid,UrbanInfra,Low,Emergency,A,Manila
FC-071,Riverbank Stabilization,NCR,2023-01-17,2023-10-04,Completed,874194464,International Aid,TerraFirm,Low,Minor,B,Manila
FC-072,Seawall Restoration,Region IV-A,2023-11-18,2025-10-06,Completed,610007038,International Aid,OceanGuard Co.,Low,Emergency,B,Davao
FC-073,Drainage System Upgrade,Region XI,2023-04-14,2023-05-26,Planned,555639749,Grant,TerraFirm,Low,Emergency,C,Pampanga
FC-074,Dredging Operations,Region IV-A,2023-02-10,2024-10-06,Ongoing,120907936,Grant,EcoClear Ltd,Medium,Emergency,A,Quezon City
FC-075,Waterway Clearing,Region III,2023-10-22,2024-05-27,Ongoing,606923224,Government,OceanGuard Co.,Low,Emergency,C,Calamba
FC-076,Pumping Station Repair,Region VII,2023-06-11,2024-02-14,Completed,152544418,Grant,OceanGuard Co.,Low,Routine,B,Calamba
FC-077,Dredging Operations,Region XI,2023-02-24,2024-10-08,Completed,697402786,International Aid,BuildCorp Inc.,High,Emergency,B,Calamba
FC-078,Construction of Dikes,Region III,2023-04-24,2025-01-24,Ongoing,693392743,Government,TerraFirm,Low,Major,A,Cebu City
FC-079,Drainage System Upgrade,Region VII,2023-08-11,2025-03-26,Ongoing,452242192,Grant,TerraFirm,Medium,Major,C,Cebu City
FC-080,Riverbank Stabilization,Region I,2023-07-28,2025-04-01,Planned,514564509,International Aid,UrbanInfra,Low,Emergency,B,Calamba
FC-081,Drainage System Upgrade,Region XI,2023-12-20,2024-11-12,Planned,248333137,Private,BuildCorp Inc.,High,Routine,B,Quezon City
FC-082,Drainage System Upgrade,NCR,2023-12-11,2025-12-08,Ongoing,488482969,Grant,BuildCorp Inc.,High,Routine,A,Malolos
FC-083,Seawall Restoration,Region XI,2023-07-15,2025-06-12,Planned,293380411,International Aid,TerraFirm,Low,Emergency,C,Manila
FC-084,Pumping Station Repair,Region I,2023-04-14,2024-02-04,Planned,394333719,Private,BuildCorp Inc.,Low,Minor,C,Calamba
FC-085,Pumping Station Repair,Region IV-A,2023-02-08,2023-04-02,Ongoing,378559686,International Aid,OceanGuard Co.,Low,Minor,C,Manila
FC-086,Floodway Maintenance,Region IV-A,2023-11-23,2024-04-24,Completed,431427824,Government,OceanGuard Co.,High,Minor,B,Pampanga
FC-087,Riverbank Stabilization,Region I,2023-06-02,2025-01-09,Completed,466717940,Grant,BuildCorp Inc.,Low,Minor,B,Quezon City
FC-088,Pumping Station Repair,Region III,2023-08-05,2024-11-19,Completed,387014992,Government,TerraFirm,Low,Routine,C,Calamba
FC-089,Culvert Installation,Region I,2023-09-07,2025-03-09,Completed,133701149,Government,EcoClear Ltd,Medium,Minor,A,Quezon City
FC-090,Seawall Restoration,Region III,2023-08-30,2025-01-31,Completed,795235516,Grant,BuildCorp Inc.,High,Routine,A,Calamba
FC-091,Drainage System Upgrade,NCR,2023-01-04,2023-02-04,Ongoing,814719728,Private,UrbanInfra,Low,Emergency,C,Manila
FC-092,Dredging Operations,Region IV-A,2023-10-24,2025-04-30,Completed,226931592,Government,UrbanInfra,Low,Minor,B,Calamba
FC-093,Bridge Abutment Reinforcement,Region I,2023-11-12,2024-09-10,Planned,642611490,Government,TerraFirm,Medium,Minor,A,Malolos
FC-094,Culvert Installation,Region VII,2023-07-02,2024-01-12,Ongoing,118397400,Private,AquaFlow Solutions,Medium,Emergency,B,Malolos
FC-095,Construction of Dikes,NCR,2023-03-03,2024-10-27,Planned,530410129,Grant,OceanGuard Co.,Low,Emergency,B,Manila
FC-096,Drainage System Upgrade,Region I,2023-09-30,2024-07-28,Completed,179226387,Government,EcoClear Ltd,Low,Emergency,A,Malolos
FC-097,Construction of Dikes,Region XI,2023-10-19,2024-07-21,Under Review,864931382,Grant,BuildCorp Inc.,High,Major,C,Davao
FC-098,Dredging Operations,Region VII,2024-01-01,2025-11-22,Planned,257834628,Grant,TerraFirm,Medium,Minor,A,Pampanga
FC-099,Construction of Dikes,Region IV-A,2023-09-15,2024-08-22,Completed,945889825,Private,TerraFirm,Low,Major,C,Quezon City
FC-100,Pumping Station Repair,Region III,2023-01-18,2024-02-07,Completed,287186123,International Aid,OceanGuard Co.,Low,Emergency,C,Quezon City
